iter	TotalF1	MultiClass
410	0.9630406253	0.1031336683
411	0.9630786245	0.1031010473
412	0.9630981221	0.1030629492
413	0.9630983539	0.1030245093
414	0.9631172554	0.1029904465
415	0.9631447236	0.1029435282
416	0.9631524678	0.1029083247
417	0.9631611776	0.1028731546
418	0.9631613212	0.1028134507
419	0.9632196904	0.1027325957
420	0.9632362014	0.1027005999
421	0.9632554296	0.1026687794
422	0.9632686851	0.1026140893
423	0.9633123596	0.1025390641
424	0.9633424763	0.1024930865
425	0.9633532789	0.1024650768
426	0.9633798317	0.102430254
427	0.963401838	0.1024046049
428	0.9634103194	0.1023469043
429	0.9634291908	0.1022903732
430	0.9634182457	0.102249869
431	0.9634180011	0.102222333
432	0.9634476059	0.1021791406
433	0.9634556545	0.1021579614
434	0.963477711	0.1021190766
435	0.9634886448	0.1020711056
436	0.963480632	0.1020404769
437	0.9634938335	0.1020028089
438	0.9635245777	0.1019566962
439	0.9635463295	0.1019133685
440	0.9635625391	0.1018803205
441	0.9635952296	0.1018409992
442	0.9636089368	0.1018009708
443	0.9636090022	0.1017845488
444	0.963605799	0.1017458098
445	0.9636134238	0.101704293
446	0.9636244849	0.1016472262
447	0.9636412494	0.1016124166
448	0.9636468826	0.1015770978
449	0.9636549528	0.1015429599
450	0.9636442655	0.1015204714
451	0.9636526262	0.1014886933
452	0.9636771166	0.101450062
453	0.9637067446	0.1014172505
454	0.9637125633	0.1013856786
455	0.963712178	0.101348877
456	0.9637230935	0.1013157457
457	0.9637393221	0.1012847671
458	0.9637770861	0.1012353021
459	0.963804424	0.1012069304
460	0.9638023463	0.1011721272
461	0.9638673706	0.1011137518
462	0.9638479821	0.1010756725
463	0.9638509217	0.1010531503
464	0.9638676208	0.1010310296
465	0.9638860227	0.1009721099
466	0.9638946183	0.1009392224
467	0.9638833768	0.1009108547
468	0.9638945179	0.1008907711
469	0.9638964219	0.1008241889
470	0.9639175732	0.1007860318
471	0.9639530354	0.1007263878
472	0.9639861884	0.1006938663
473	0.9640160018	0.1006648883
474	0.9640214293	0.1006058063
475	0.9640264121	0.100571113
476	0.964050885	0.1005387771
477	0.9640616387	0.1005152676
478	0.9640729457	0.1004748164
479	0.9640972395	0.1004476229
480	0.9641107906	0.100390793
481	0.9641017218	0.1003573726
482	0.9641013609	0.1003321862
483	0.9641125953	0.1003080928
484	0.964109877	0.1002938635
485	0.9641128305	0.1002716732
486	0.9641459445	0.1002320358
487	0.96414075	0.1002134213
488	0.9641385455	0.1001842875
489	0.9641655846	0.1001491504
490	0.9641651204	0.1001207291
491	0.9641709316	0.1000683829
492	0.9641761373	0.1000147935
493	0.9641841393	0.09998590083
494	0.964192518	0.0999623926
495	0.9642001428	0.09994227404
496	0.9642082555	0.09991353582
497	0.9642056004	0.09989195635
498	0.9641974727	0.09985866646
499	0.9642354146	0.0998233393
500	0.9642732368	0.09975061785
501	0.9642817863	0.09972489061
502	0.9642818236	0.09970042469
503	0.9642951446	0.0996599961
504	0.9642950405	0.09964160022
505	0.964303605	0.09962047287
506	0.9643169828	0.09959824685
507	0.9643334097	0.09954469187
508	0.9643522242	0.09949567947
509	0.9643631402	0.09946981538
510	0.9643763635	0.0994213507
511	0.9643846751	0.09939061317
512	0.9643952821	0.0993584629
513	0.9644226236	0.09929905588
514	0.9644031556	0.09927472912
515	0.9644330286	0.09922075825
516	0.9644493404	0.09917607347
517	0.9644520694	0.0991538816
518	0.9644763166	0.0991350001
519	0.9644708796	0.09910322006
520	0.9644687813	0.09905722768
521	0.964487888	0.09901944443
522	0.9644795239	0.09900251926
523	0.9645065627	0.09896931551
524	0.9645173427	0.09895167171
